,Leiden_Cluster
LTHSC.34-.BM,3
LTHSC.34+.BM,3
STHSC.150-.BM,3
MPP4.135+.BM,3
proB.CLP.BM,3
proB.FrA.BM,3
proB.FrBC.BM,3
B.FrE.BM,2
B1b.PC,2
B.T1.Sp,2
B.T2.Sp,2
B.T3.Sp,2
B.Sp,2
B.Fem.Sp,2
B.MZ.Sp,2
B.Fo.Sp,2
B.mem.Sp,2
B.GC.CB.Sp,2
B.GC.CC.Sp,2
B.PB.Sp,2
B.PC.Sp,2
B.PC.BM,3
preT.DN1.Th,3
preT.DN2a.Th,3
preT.DN2b.Th,3
preT.DN3.Th,3
T.DN4.Th,3
T.ISP.Th,3
T.DP.Th,4
T.4.Th,4
T.8.Th,4
T.4.Nve.Sp,4
T.4.Nve.Fem.Sp,4
T.8.Nve.Sp,4
T.4.Sp.aCD3+CD40.18hr,4
Treg.4.FP3+.Nrplo.Co,1
Treg.4.25hi.Sp,4
T8.TN.P14.Sp,4
T8.IEL.LCMV.d7.Gut,1
T8.TE.LCMV.d7.Sp,1
T8.MP.LCMV.d7.Sp,1
T8.Tcm.LCMV.d180.Sp,1
T8.Tem.LCMV.d180.Sp,1
NKT.Sp,1
NKT.Sp.LPS.3hr,1
NKT.Sp.LPS.18hr,1
NKT.Sp.LPS.3d,1
Tgd.g2+d17.24a+.Th,4
Tgd.g2+d17.LN,1
Tgd.g2+d1.24a+.Th,4
Tgd.g2+d1.LN,1
Tgd.g1.1+d1.24a+.Th,4
Tgd.g1.1+d1.LN,1
Tgd.Sp,1
NK.27+11b-.BM,5
NK.27+11b+.BM,5
NK.27-11b+.BM,5
NK.27+11b-.Sp,5
NK.27+11b+.Sp,5
NK.27-11b+.Sp,5
ILC2.SI,1
ILC3.NKp46-CCR6-.SI,1
ILC3.NKp46+.SI,1
ILC3.CCR6+.SI,1
MPP3.48+.BM,3
GN.BM,0
GN.Sp,0
GN.Thio.PC,0
Mo.6C+II-.Bl,0
Mo.6C-II-.Bl,0
MF.pIC.Alv.Lu,0
MF.226+II+480lo.PC,0
MF.ICAM+480hi.PC,0
MF.RP.Sp,0
MF.Alv.Lu,0
MF.microglia.CNS,0
MF.PC,0
MF.Fem.PC,0
DC.4+.Sp,0
DC.8+.Sp,0
DC.pDC.Sp,2
FRC.SLN,0
IAP.SLN,0
BEC.SLN,0
LEC.SLN,0
Ep.MEChi.Th,0
